จังหวัด,เขต,พรรค,ผู้ชนะ,คะแนน,คะแนนบัญชีรายชื่อ,ผู้มีสิทธิ,มาใช้สิทธิ,คะแนนดี
ปราจีนบรี,2,ภูมิใจไทย,ชยุต ภุมมะกาญจนะ,"44,037","21,834",141803,108244,100450
ปราจีนบรี,2,ประชาชน,ศิริรัตน์ ศิริรักษ์,"33,650","36,603",,,
ปราจีนบรี,2,เพื่อไทย,สมเกียรติ คำดำ,"19,484","13,415",,,
ปราจีนบรี,2,ประชาธิปัตย์,พรทิพย์พา ฤทธิ์ประเสริฐ,"1,441","4,064",,,
ปราจีนบรี,2,ไทยภักดี,กันพิเชฐษ์ มลิเกตุ,"1,102",698,,,
ปราจีนบรี,2,เสรีรวมไทย,สุรศักดิ์ หร่ำเดช,736,813,,,
