จังหวัด,เขต,พรรค,ผู้ชนะ,คะแนน,คะแนนบัญชีรายชื่อ,ผู้มีสิทธิ,มาใช้สิทธิ,คะแนนดี
น่าน,1,ประชาชน,เชาว์วิชญ์ อินน้อย,"34,546","38,359","139,889",107125,95619
น่าน,1,กล้าธรรม,ณัฐ เธียรสูตร,"21,279","5,764",,,
น่าน,1,ภูมิใจไทย,สักก์สีห์ พลสันติกุล,"15,211","10,406",,,
น่าน,1,เพื่อไทย,ทรงยศ รามสูต,"13,779","18,728",,,
น่าน,1,ไทยก้าวใหม่,เอกชัย อินทะนันท์,"2,906",618,,,
น่าน,1,พลังประชารัฐ,สันติภาพ อินทรพัฒน์,"1,999",460,,,
น่าน,1,ประชาธิปัตย์,เสกสรรค์ คันทะมูล,"1,985","4,083",,,
น่าน,1,ทางเลือกใหม่,ประยุทธ กุตตะนันท์,"1,570",530,,,
น่าน,1,รวมไทยสร้างชาติ,ปรีชาพล ยะราช,"1,357","1,412",,,
